"Cr","Y","La","Ce","Ba"
33.3,24,9,180,48
64.7,21,19,259,93
30.4,22,14,240,75
12.1,17,7,119,50
18.9,15,14,203,64
25.9,12,12,150,56
24.3,11,10,168,51
43,15,24,324,149
77.2,21,39,500,141
20.8,21,9,172,224
36.8,22,10,188,1116
15.7,16,7,156,78
54.5,29,40,555,214
22,16,16,232,66
39.9,26,31,400,119
21.9,21,23,335,84
48.4,34,41,516,161
85.6,25,32,407,151
80.7,26,30,402,130
65.1,20,22,310,157
54.3,20,18,266,133
8.1,6,5,79,37
10.8,18,7,131,31
31.8,15,20,246,99
21.9,13,16,211,85
18.4,8,11,181,94
14.9,10,12,178,71
5.3,4,2,69,46
24,17,11,115,88
46.3,26,29,399,209
15.5,14,6,96,37
34.2,22,23,311,102
32.6,14,13,199,185
13.4,9,5,114,56
23.8,0,11,163,99
22.6,4,7,89,67
16,9,6,83,82
27.5,17,8,163,74
9.8,6,2,48,53
8.9,12,0,34,19
0,10,3,65,121
33.8,11,8,0,85
13.3,9,9,131,56
18.5,13,5,30,61
16.9,23,8,133,78
9.9,6,2,70,65
22.1,11,3,120,55
24.3,6,6,89,38
26.5,19,14,199,67
9.6,10,5,73,39
21.8,13,9,109,55
21.5,19,13,152,61
17.9,27,14,227,66
11.2,13,7,110,53
12.2,19,10,134,49
13,15,8,102,52
17.4,13,12,171,1006
29.6,31,29,417,96
6.3,4,3,86,35
3.6,10,1,65,23
4,8,2,35,13
5.3,8,5,97,23
8.3,8,2,18,13
5.7,5,0,63,21
10.3,10,7,73,47
7.1,5,2,49,27
18.7,18,9,193,71
13.3,12,4,110,36
32.5,20,8,84,63
16.3,20,10,111,47
13.3,26,12,215,104
30.6,25,16,137,125
15.2,15,15,180,244
16.6,14,12,148,46
16.3,17,13,187,67
21.8,26,18,240,76
24.2,21,16,147,147
29.7,21,18,247,128
25.6,20,9,97,36
36,102,49,916,109
66.3,24,41,508,268
46.8,27,28,276,159
26.6,19,14,157,94
15.8,11,5,60,45
48.2,29,9,125,49
60,32,41,523,125
17.6,23,30,457,136
47.7,20,14,219,32
15.9,25,23,229,59
26.7,17,23,193,59
11.2,3,0,37,10
4.2,12,10,139,45
22.1,10,7,197,74
84.9,23,34,403,144
31.9,20,15,220,145
52.5,58,59,715,292
