"Month","Chl_b","Allox","Diad"
"November",0,0,0
"November",0,0,0
"November",0,0,0
"November",0,0,0
"November",0,0,0
"November",0,0,0
"November",0,0,0
"November",0,0,0
"November",0,0,0
"November",0,0,0
"November",0,0,0
"November",0,0,0
"November",0,0,0
"November",0,0,0
"November",0,0,0
"November",0,0,0
"November",0,0,0
"November",0,0,0
"November",0,0,0
"November",0,0,0
"November",0,0,0
"November",1,0,0
"November",0,0,0
"November",1,0,0
"November",1,0,0
"November",1,0,0
"November",1,0,0
"November",1,0,0
"November",1,0,0
"November",1,0,0
"November",0,0,0
"November",0,0,0
"November",0,0,0
"November",0,0,0
"November",0,0,0
"November",0,0,0
"November",0,0,0
"November",0,0,0
"November",0,0,0
"November",0,0,0
"November",0,0,0
"November",0,0,0
"November",1,0,0
"November",1,0,0
"November",0,0,0
"November",1,0,0
"November",1,0,0
"November",1,0,0
"November",1,0,0
"November",1,0,0
"November",1,0,0
"November",1,0,0
"November",1,0,0
"November",0,0,0
"November",0,0,0
"November",1,0,0
"November",0,0,0
"November",0,0,0
"November",0,0,0
"November",0,0,0
"November",1,0,0
"November",0,0,0
"November",0,0,0
"November",0,0,0
"November",1,0,0
"November",1,0,0
"November",1,0,0
"November",0,0,0
"November",1,0,0
"November",1,0,0
"November",0,0,0
"November",0,0,0
"November",0,0,0
"November",0,0,0
"November",0,0,0
"November",0,0,0
"November",0,0,0
"November",0,0,0
"November",0,0,0
"November",0,0,0
"November",0,0,0
"November",0,0,0
"November",0,0,0
"November",0,0,0
"November",0,0,0
"November",0,0,0
"November",0,0,0
"November",0,0,0
"November",0,0,0
"November",0,0,0
"September",0,0,0
"September",0,0,0
"September",1,0,0
"September",1,1,0
"September",1,1,0
"September",1,0,0
"September",0,0,0
"September",0,0,0
"September",0,0,0
"September",0,0,0
"September",0,0,0
"September",0,0,0
"September",0,0,0
"September",1,1,0
"September",0,0,0
"September",0,0,0
"September",0,0,0
"September",0,0,0
"September",0,0,0
"September",0,0,0
"September",0,0,0
"September",0,0,0
"September",0,0,0
"September",0,0,0
"September",0,0,0
"September",0,0,0
"September",0,0,0
"September",0,0,0
"September",0,0,0
