"Lat","Long","Depth_Site","Depth_Smp","TDP","PC","PN"
43.09792,-87.7187,75,20,1.66,74.8,4.53
43.09792,-87.7187,75,35,1.82,80.4,1.28
43.09792,-87.7187,75,55,1.47,73.5,6.42
43.09792,-87.7187,75,60,2.2,75,4.05
43.09792,-87.7187,75,62,1.8,83.6,4.58
43.09792,-87.7187,75,5,1.48,73.7,14.15
43.09792,-87.7187,75,35,2.09,59,6.12
43.09792,-87.7187,75,65,1.92,38.8,3.21
43.09792,-87.7187,75,5,1.32,108.9,15.65
43.09792,-87.7187,75,26,2.35,93.9,8.24
43.09792,-87.7187,75,65,2.14,25.7,2.65
43.09792,-87.7187,75,5,0.94,160.8,25.77
43.09792,-87.7187,75,27,1.18,131.3,18.41
43.09577,-87.86112,15,5,2.05,383.3,40.46
43.09798,-87.78403,45,5,2.13,135.8,18.57
43.09798,-87.78403,45,22,1.61,154.8,19.92
43.09792,-87.7187,75,5,1.47,96.6,8.64
43.09792,-87.7187,75,30,1.56,130.3,19.2
43.09792,-87.7187,75,5,1.64,102.3,11.32
43.09792,-87.7187,75,40,1.64,175,24.07
43.09792,-87.7187,75,65,1.79,49.8,3.04
43.09502,-87.77135,55,2,1.16,107.9,22.06
43.09502,-87.77135,55,10,0.94,110.5,15.34
43.09502,-87.77135,55,20,1.61,169.4,20.99
43.09502,-87.77135,55,25,1.48,148.8,19.49
43.09502,-87.77135,55,30,1.28,123.5,15.09
43.09502,-87.77135,55,35,1.78,112,10.08
43.09502,-87.77135,55,40,1.36,99,6.84
43.09502,-87.77135,55,50,2.18,99.7,4.92
43.09502,-87.77135,55,55,2.72,78.8,4.32
43.09792,-87.7187,75,5,0.83,153,21.21
43.09792,-87.7187,75,25,2.66,169.8,20.28
43.09792,-87.7187,75,65,1.54,54.9,1.74
43.09502,-87.77135,55,2,1.3,142.9,16.59
43.09502,-87.77135,55,10,1.36,149,20.18
43.09502,-87.77135,55,20,5.21,169.2,22.19
43.09502,-87.77135,55,25,1.3,168.9,18.61
43.09502,-87.77135,55,30,1.84,199.1,21.05
43.09502,-87.77135,55,35,1.5,77,6.25
43.09502,-87.77135,55,40,0.93,64.5,5.48
43.09502,-87.77135,55,50,2.25,60.8,4.65
43.09502,-87.77135,55,51,1.28,69.4,5.53
43.09502,-87.77135,55,52,1.3,87.4,7.81
43.09792,-87.7187,75,5,0.79,128.1,17.59
43.09792,-87.7187,75,22,1.32,195.7,26.88
43.09577,-87.86112,15,5,1.91,194.8,25.3
43.09798,-87.78403,45,5,1.06,169.1,18.77
43.09798,-87.78403,45,36,0.64,105.8,4.15
43.09792,-87.7187,75,5,1.02,159,22.02
43.09792,-87.7187,75,38,1.54,97.5,10.42
43.09792,-87.7187,75,5,0.5,193.2,22.84
43.09792,-87.7187,75,28,0.49,96.9,11.27
43.09792,-87.7187,75,65,0.82,48.4,2.18
43.09798,-87.78403,45,5,0.9,158.5,19.91
43.09798,-87.78403,45,17,0.73,139.8,21.56
43.09792,-87.7187,75,5,0.36,174.9,27.58
43.09792,-87.7187,75,10,0.65,173.6,21.29
43.09792,-87.7187,75,5,1.28,195.9,26.7
43.09792,-87.7187,75,16,0.86,205.8,27.92
43.09792,-87.7187,75,25,0.33,109.1,11.02
43.09792,-87.7187,75,65,0.4,43.7,3.04
43.06992,-87.75322,55,2,1.28,42.5,6.98
43.06992,-87.75322,55,10,1.28,48.5,7.13
43.06992,-87.75322,55,20,1.26,57,8.74
43.06992,-87.75322,55,30,1.12,51.8,7.7
43.06992,-87.75322,55,40,1.17,48.7,7.35
43.06992,-87.75322,55,48,1.22,33.8,4.96
43.06992,-87.75322,55,50.5,1.51,40.4,5.84
43.06992,-87.75322,55,2,1.54,50.4,6.88
43.06992,-87.75322,55,10,1.61,60.9,9.35
43.06992,-87.75322,55,20,1.47,67.8,16.61
43.06992,-87.75322,55,30,1.79,55.2,9.17
43.06992,-87.75322,55,40,1.91,36.7,4.86
43.06992,-87.75322,55,50,1.77,42.2,6.77
43.06992,-87.75322,55,52.5,1.82,40.8,5.83
43.06992,-87.75322,55,2,1.14,119.6,15.51
43.06992,-87.75322,55,10,1.01,90.5,13.01
43.06992,-87.75322,55,15,1.31,77.9,11.71
43.06992,-87.75322,55,20,1.26,70.2,10.53
43.06992,-87.75322,55,30,1.35,60.4,8.69
43.06992,-87.75322,55,40,1.16,55.1,8.27
43.06992,-87.75322,55,50,1.45,36,5.33
43.06992,-87.75322,55,54,1.31,33.8,5.35
43.06992,-87.75322,55,54.5,1.62,153.3,15.91
43.06992,-87.75322,55,2,2.09,156.2,22.33
43.06992,-87.75322,55,10,2.14,225.9,35.9
43.06992,-87.75322,55,20,1.69,118.3,14.25
43.06992,-87.75322,55,25,1.82,115.4,23.29
43.06992,-87.75322,55,30,1.54,91.5,14.1
43.06992,-87.75322,55,35,1.62,79,12.32
43.06992,-87.75322,55,40,2.67,69.6,12.04
43.06992,-87.75322,55,50,1.55,77.1,12.26
43.06992,-87.75322,55,54,2.19,39.2,4.17
43.06992,-87.75322,55,54.5,2.19,36.7,3.54
43.09522,-87.86447,10,10,2.03,70.3,12.52
43.09522,-87.86447,10,1,1.75,104,11.94
43.06992,-87.75322,55,2,2.03,123.7,19.83
43.06992,-87.75322,55,10,1.42,132.3,21.24
43.06992,-87.75322,55,15,1.56,181.8,31.2
43.06992,-87.75322,55,20,1.56,187.5,28.1
43.06992,-87.75322,55,25,1.86,174.1,24.72
43.06992,-87.75322,55,30,1.71,96,15.01
43.06992,-87.75322,55,35,1.61,44.8,6.68
43.06992,-87.75322,55,50,1.81,21.2,4.34
43.06992,-87.75322,55,54,1.62,23.3,3.03
43.06992,-87.75322,55,55,1.69,56.4,5.89
43.09932,-87.8397,25,10,2.07,34.7,5.12
43.09932,-87.8397,25,15,1.94,140.9,19.95
43.09932,-87.8397,25,20,2,63.6,8.27
43.09932,-87.8397,25,25,2.05,68.1,7.51
43.09932,-87.8397,25,25.5,2.2,75.4,8.7
43.06992,-87.75322,55,2,2.06,106.2,16.23
43.06992,-87.75322,55,10,2.16,130.7,18.12
43.06992,-87.75322,55,15,2.26,117.5,19.01
43.06992,-87.75322,55,20,2.44,120.8,21.52
43.06992,-87.75322,55,25,3.42,51.9,6.66
43.06992,-87.75322,55,30,2.21,56.3,6.37
43.06992,-87.75322,55,35,2.61,39.3,4.97
43.06992,-87.75322,55,40,1.86,45.2,5.79
43.06992,-87.75322,55,45,2.11,37.3,5.52
43.06992,-87.75322,55,50,3.08,35.4,5.25
43.06992,-87.75322,55,54,3.32,26.7,2.3
43.06992,-87.75322,55,54.5,3.06,37.6,3.5
43.09932,-87.8397,25,2,1.91,146.7,19.53
