Rep,N,Crate,Model,run_sec,nu
1,25,0.0,MVNR,0.0,4
1,25,0.0,MVTR,0.02,4
1,25,0.0,MSLR,0.0600000000000001,4
1,25,0.0,MVNCR,0.0,4
1,25,0.0,MVTCR,0.0700000000000003,4
1,25,0.0,MSLCR,0.0499999999999998,4
2,25,0.0,MVNR,0.02,4
2,25,0.0,MVTR,0.0100000000000002,4
2,25,0.0,MSLR,0.0299999999999998,4
2,25,0.0,MVNCR,0.0,4
2,25,0.0,MVTCR,0.0099999999999997,4
2,25,0.0,MSLCR,0.02,4
3,25,0.0,MVNR,0.0,4
3,25,0.0,MVTR,0.0100000000000002,4
3,25,0.0,MSLR,0.02,4
3,25,0.0,MVNCR,0.0,4
3,25,0.0,MVTCR,0.0299999999999998,4
3,25,0.0,MSLCR,0.0,4
4,25,0.0,MVNR,0.0,4
4,25,0.0,MVTR,0.0099999999999997,4
4,25,0.0,MSLR,0.02,4
4,25,0.0,MVNCR,0.0,4
4,25,0.0,MVTCR,0.0100000000000002,4
4,25,0.0,MSLCR,0.0,4
5,25,0.0,MVNR,0.0,4
5,25,0.0,MVTR,0.0099999999999997,4
5,25,0.0,MSLR,0.0,4
5,25,0.0,MVNCR,0.0,4
5,25,0.0,MVTCR,0.02,4
5,25,0.0,MSLCR,0.02,4
6,25,0.0,MVNR,0.02,4
6,25,0.0,MVTR,0.0100000000000002,4
6,25,0.0,MSLR,0.0099999999999997,4
6,25,0.0,MVNCR,0.0099999999999997,4
6,25,0.0,MVTCR,0.0499999999999998,4
6,25,0.0,MSLCR,0.02,4
7,25,0.0,MVNR,0.0,4
7,25,0.0,MVTR,0.02,4
7,25,0.0,MSLR,0.0300000000000002,4
7,25,0.0,MVNCR,0.0,4
7,25,0.0,MVTCR,0.0300000000000002,4
7,25,0.0,MSLCR,0.0099999999999997,4
8,25,0.0,MVNR,0.0,4
8,25,0.0,MVTR,0.02,4
8,25,0.0,MSLR,0.0499999999999998,4
8,25,0.0,MVNCR,0.0,4
8,25,0.0,MVTCR,0.0499999999999998,4
8,25,0.0,MSLCR,0.0100000000000002,4
9,25,0.0,MVNR,0.0,4
9,25,0.0,MVTR,0.02,4
9,25,0.0,MSLR,0.0099999999999997,4
9,25,0.0,MVNCR,0.0,4
9,25,0.0,MVTCR,0.0299999999999998,4
