Rep,N,Crate,Model,MSE_R,MSE_C,nu
1,25,0.0,MVNR,3.17151561131899,,4
1,25,0.0,MVTR,3.17151478707581,,4
1,25,0.0,MSLR,3.17154531927289,,4
1,25,0.0,MVNCR,3.171515611319,,4
1,25,0.0,MVTCR,3.17151520889462,,4
1,25,0.0,MSLCR,3.18122073220118,,4
2,25,0.0,MVNR,4.11386109656375,,4
2,25,0.0,MVTR,4.1417067216251,,4
2,25,0.0,MSLR,4.15148101008771,,4
2,25,0.0,MVNCR,4.11386109656374,,4
2,25,0.0,MVTCR,4.14170672162291,,4
2,25,0.0,MSLCR,4.16600792755888,,4
3,25,0.0,MVNR,1.64104505534329,,4
3,25,0.0,MVTR,1.64222392070731,,4
3,25,0.0,MSLR,1.64218050495906,,4
3,25,0.0,MVNCR,1.64104505534329,,4
3,25,0.0,MVTCR,1.64222392072422,,4
3,25,0.0,MSLCR,1.64104254243329,,4
4,25,0.0,MVNR,2.49313071088928,,4
4,25,0.0,MVTR,2.52176274961844,,4
4,25,0.0,MSLR,2.51956827364508,,4
4,25,0.0,MVNCR,2.49313071088928,,4
4,25,0.0,MVTCR,2.52176275083763,,4
4,25,0.0,MSLCR,2.51699853332872,,4
5,25,0.0,MVNR,3.81244239500009,,4
5,25,0.0,MVTR,3.8191941386542,,4
5,25,0.0,MSLR,3.82207643375914,,4
5,25,0.0,MVNCR,3.81244239500009,,4
5,25,0.0,MVTCR,3.8191941386568,,4
5,25,0.0,MSLCR,3.82249693421596,,4
6,25,0.0,MVNR,3.47072699528952,,4
6,25,0.0,MVTR,3.45459747166004,,4
6,25,0.0,MSLR,3.45417102000397,,4
6,25,0.0,MVNCR,3.47072699528951,,4
6,25,0.0,MVTCR,3.45459747166079,,4
6,25,0.0,MSLCR,3.45035201366758,,4
7,25,0.0,MVNR,2.51411225429934,,4
7,25,0.0,MVTR,2.51604007310988,,4
7,25,0.0,MSLR,2.51656743475138,,4
7,25,0.0,MVNCR,2.51411225429934,,4
7,25,0.0,MVTCR,2.51604007310969,,4
7,25,0.0,MSLCR,2.51670617145265,,4
8,25,0.0,MVNR,1.94574641650437,,4
8,25,0.0,MVTR,1.94573762404415,,4
8,25,0.0,MSLR,1.94574038768247,,4
8,25,0.0,MVNCR,1.94574641650437,,4
8,25,0.0,MVTCR,1.94573762405505,,4
8,25,0.0,MSLCR,1.94573054139856,,4
9,25,0.0,MVNR,2.42569704360034,,4
9,25,0.0,MVTR,2.4353999818508,,4
9,25,0.0,MSLR,2.43339831848315,,4
9,25,0.0,MVNCR,2.42569704360035,,4
9,25,0.0,MVTCR,2.43539998186041,,4
9,25,0.0,MSLCR,2.4270480191779,,4
10,25,0.0,MVNR,2.57918432014062,,4
10,25,0.0,MVTR,2.59188106847684,,4
10,25,0.0,MSLR,2.58678342174432,,4
10,25,0.0,MVNCR,2.57918432014061,,4
10,25,0.0,MVTCR,2.59188106845474,,4
10,25,0.0,MSLCR,2.58759435342364,,4
11,25,0.0,MVNR,2.8136895131488,,4
11,25,0.0,MVTR,2.81368955209651,,4
11,25,0.0,MSLR,2.81369103061849,,4
11,25,0.0,MVNCR,2.81368951314881,,4
11,25,0.0,MVTCR,2.81368955212217,,4
11,25,0.0,MSLCR,2.81415469623022,,4
12,25,0.0,MVNR,2.45358084673412,,4
12,25,0.0,MVTR,2.47295770237599,,4
12,25,0.0,MSLR,2.47275770787758,,4
12,25,0.0,MVNCR,2.45358084673412,,4
12,25,0.0,MVTCR,2.47295770237963,,4
12,25,0.0,MSLCR,2.46291559464456,,4
13,25,0.0,MVNR,3.01393880915906,,4
13,25,0.0,MVTR,3.01409857452359,,4
13,25,0.0,MSLR,3.01404116482578,,4
13,25,0.0,MVNCR,3.01393880915906,,4
13,25,0.0,MVTCR,3.01409885431165,,4
13,25,0.0,MSLCR,3.00391955050658,,4
14,25,0.0,MVNR,4.33200129883415,,4
14,25,0.0,MVTR,4.34424928326059,,4
14,25,0.0,MSLR,4.34092326805194,,4
14,25,0.0,MVNCR,4.33200129883415,,4
14,25,0.0,MVTCR,4.34424928284912,,4
14,25,0.0,MSLCR,4.34090053527494,,4
15,25,0.0,MVNR,2.66677441422585,,4
15,25,0.0,MVTR,2.66397974556587,,4
15,25,0.0,MSLR,2.66393060529139,,4
15,25,0.0,MVNCR,2.66677441422584,,4
15,25,0.0,MVTCR,2.66397974558331,,4
15,25,0.0,MSLCR,2.66375636572429,,4
16,25,0.0,MVNR,3.20537603866379,,4
16,25,0.0,MVTR,3.21038730557042,,4
16,25,0.0,MSLR,3.20662941040126,,4
16,25,0.0,MVNCR,3.20537603866378,,4
16,25,0.0,MVTCR,3.21038730551243,,4
16,25,0.0,MSLCR,3.22017341123745,,4
17,25,0.0,MVNR,2.9751357959917,,4
17,25,0.0,MVTR,2.98455420760569,,4
