Rep,N,Crate,Model,SE1,SE2,SE3,nu
1,25,0.0,MVNR,0.22835424236769,0.406533680921771,0.218599744682871,4
1,25,0.0,MVTR,0.22835472577444,0.406533578941691,0.218599601979672,4
1,25,0.0,MSLR,0.228408278071298,0.406520394680652,0.218583253027732,4
1,25,0.0,MVNCR,0.22835424236769,0.406533680921775,0.218599744682873,4
1,25,0.0,MVTCR,0.228355531105522,0.406533408933333,0.218599364180146,4
1,25,0.0,MSLCR,0.236815757082575,0.397010046246821,0.212261732122039,4
2,25,0.0,MVNR,0.254286261674653,0.644693606514659,0.311467806519848,4
2,25,0.0,MVTR,0.245978394246025,0.58256609841719,0.285709121909775,4
2,25,0.0,MSLR,0.248110752344139,0.567586182022267,0.280473667005385,4
2,25,0.0,MVNCR,0.254286261674653,0.644693606514657,0.311467806519847,4
2,25,0.0,MVTCR,0.245978394246518,0.582566098420388,0.285709121911204,4
2,25,0.0,MSLCR,0.241614325363838,0.541545689744821,0.268648419671408,4
3,25,0.0,MVNR,0.18701365277841,0.565506402312526,0.270136180703407,4
3,25,0.0,MVTR,0.180126279077551,0.556765239142685,0.266602050803278,4
3,25,0.0,MSLR,0.173692859649255,0.558654588034261,0.268922273747099,4
3,25,0.0,MVNCR,0.187013652778408,0.565506402312511,0.270136180703399,4
3,25,0.0,MVTCR,0.180126279031237,0.556765239055623,0.266602050765144,4
3,25,0.0,MSLCR,0.186514802531359,0.565300816372001,0.270107797523691,4
4,25,0.0,MVNR,0.396755540907508,0.758031487166426,0.319839287939596,4
4,25,0.0,MVTR,0.330938057221068,0.655529837475296,0.290192769805138,4
4,25,0.0,MSLR,0.319959624858406,0.636310327491938,0.283013233062354,4
4,25,0.0,MVNCR,0.396755540907507,0.758031487166428,0.319839287939598,4
4,25,0.0,MVTCR,0.330938055586031,0.655529834976858,0.290192769053294,4
4,25,0.0,MSLCR,0.323112369545751,0.640442509132389,0.284174953796022,4
5,25,0.0,MVNR,0.228229927952988,0.617743989719066,0.310986919746533,4
5,25,0.0,MVTR,0.211265977609038,0.58100776356278,0.283302885344845,4
5,25,0.0,MSLR,0.209415198135253,0.583706068860665,0.284333354498852,4
5,25,0.0,MVNCR,0.228229927952988,0.617743989719067,0.310986919746534,4
5,25,0.0,MVTCR,0.211265977601185,0.581007763547225,0.283302885332553,4
5,25,0.0,MSLCR,0.207374489203522,0.57963910801277,0.281350473652129,4
6,25,0.0,MVNR,0.277579966234892,0.598080810116137,0.299978642141158,4
6,25,0.0,MVTR,0.284206255701082,0.603490791877687,0.305229956450829,4
6,25,0.0,MSLR,0.284553943696001,0.604271462737226,0.304613198986905,4
6,25,0.0,MVNCR,0.277579966234892,0.598080810116126,0.299978642141152,4
6,25,0.0,MVTCR,0.284206255702442,0.603490791881268,0.305229956452354,4
