Rep,N,Crate,Model,LogLik,AIC,BIC,nu
1,25,0.0,MVNR,-223.845944426581,483.691888853162,505.63165370079,4
1,25,0.0,MVTR,-223.845970654627,485.691941309254,508.85058198175,4
1,25,0.0,MSLR,-223.848919212503,485.697838425005,508.856479097501,4
1,25,0.0,MVNCR,-223.845944426581,483.691888853162,505.63165370079,4
1,25,0.0,MVTCR,-223.846014374441,485.692028748883,508.850669421379,4
1,25,0.0,MSLCR,-224.989689526217,487.979379052434,511.138019724929,4
2,25,0.0,MVNR,-240.885025490728,517.770050981456,539.709815829084,4
2,25,0.0,MVTR,-240.404718503582,518.809437007164,541.96807767966,4
2,25,0.0,MSLR,-240.417324219703,518.834648439407,541.993289111903,4
2,25,0.0,MVNCR,-240.885025490728,517.770050981456,539.709815829084,4
2,25,0.0,MVTCR,-240.404718503581,518.809437007162,541.968077679658,4
2,25,0.0,MSLCR,-240.678483886573,519.356967773146,542.515608445642,4
3,25,0.0,MVNR,-200.308093235783,436.616186471565,458.555951319193,4
3,25,0.0,MVTR,-200.229570600998,438.459141201997,461.617781874492,4
3,25,0.0,MSLR,-200.02957979456,438.05915958912,461.217800261616,4
3,25,0.0,MVNCR,-200.308093235783,436.616186471565,458.555951319193,4
3,25,0.0,MVTCR,-200.229570601157,438.459141202314,461.61778187481,4
3,25,0.0,MSLCR,-200.2952175255,438.590435050999,461.749075723495,4
4,25,0.0,MVNR,-220.73826477639,477.47652955278,499.416294400408,4
4,25,0.0,MVTR,-219.713249045313,477.426498090626,500.585138763122,4
4,25,0.0,MSLR,-219.301162692194,476.602325384388,499.760966056884,4
4,25,0.0,MVNCR,-220.73826477639,477.47652955278,499.416294400408,4
4,25,0.0,MVTCR,-219.713249047083,477.426498094166,500.585138766662,4
4,25,0.0,MSLCR,-219.313858677477,476.627717354953,499.786358027449,4
5,25,0.0,MVNR,-243.364303800886,522.728607601772,544.6683724494,4
5,25,0.0,MVTR,-241.962307952938,521.924615905876,545.083256578372,4
5,25,0.0,MSLR,-241.9017847236,521.803569447199,544.962210119695,4
5,25,0.0,MVNCR,-243.364303800886,522.728607601772,544.6683724494,4
5,25,0.0,MVTCR,-241.962307952962,521.924615905923,545.083256578419,4
5,25,0.0,MSLCR,-241.94759348709,521.895186974179,545.053827646675,4
6,25,0.0,MVNR,-215.876041882578,467.752083765156,489.691848612784,4
6,25,0.0,MVTR,-215.589920262124,469.179840524248,492.338481196744,4
6,25,0.0,MSLR,-215.716168750512,469.432337501024,492.59097817352,4
6,25,0.0,MVNCR,-215.876041882578,467.752083765156,489.691848612784,4
