Rep,N,Crate,Model,run_sec,nu
1,25,0.0,MVN,0.0,4
1,25,0.0,MVT,0.02,4
1,25,0.0,MSL,0.0199999999999998,4
1,25,0.0,MVNC,0.0,4
1,25,0.0,MVTC,0.0699999999999998,4
1,25,0.0,MSLC,0.0500000000000003,4
2,25,0.0,MVN,0.0,4
2,25,0.0,MVT,0.0,4
2,25,0.0,MSL,0.02,4
2,25,0.0,MVNC,0.0,4
2,25,0.0,MVTC,0.0299999999999998,4
2,25,0.0,MSLC,0.0100000000000002,4
3,25,0.0,MVN,0.0,4
3,25,0.0,MVT,0.0,4
3,25,0.0,MSL,0.0,4
3,25,0.0,MVNC,0.0,4
3,25,0.0,MVTC,0.02,4
3,25,0.0,MSLC,0.02,4
4,25,0.0,MVN,0.0,4
4,25,0.0,MVT,0.02,4
4,25,0.0,MSL,0.0099999999999997,4
4,25,0.0,MVNC,0.0,4
4,25,0.0,MVTC,0.02,4
4,25,0.0,MSLC,0.0,4
5,25,0.0,MVN,0.0,4
5,25,0.0,MVT,0.0,4
5,25,0.0,MSL,0.0,4
5,25,0.0,MVNC,0.0,4
5,25,0.0,MVTC,0.02,4
5,25,0.0,MSLC,0.0099999999999997,4
6,25,0.0,MVN,0.0,4
6,25,0.0,MVT,0.0,4
6,25,0.0,MSL,0.0100000000000002,4
6,25,0.0,MVNC,0.0,4
6,25,0.0,MVTC,0.02,4
6,25,0.0,MSLC,0.0,4
7,25,0.0,MVN,0.0,4
7,25,0.0,MVT,0.0,4
7,25,0.0,MSL,0.0099999999999997,4
7,25,0.0,MVNC,0.0,4
7,25,0.0,MVTC,0.0100000000000002,4
7,25,0.0,MSLC,0.02,4
8,25,0.0,MVN,0.0,4
8,25,0.0,MVT,0.02,4
8,25,0.0,MSL,0.0,4
8,25,0.0,MVNC,0.0,4
8,25,0.0,MVTC,0.0299999999999998,4
8,25,0.0,MSLC,0.0,4
9,25,0.0,MVN,0.0099999999999997,4
9,25,0.0,MVT,0.0,4
9,25,0.0,MSL,0.02,4
9,25,0.0,MVNC,0.0,4
9,25,0.0,MVTC,0.0300000000000002,4
9,25,0.0,MSLC,0.0,4
10,25,0.0,MVN,0.0,4
10,25,0.0,MVT,0.02,4
10,25,0.0,MSL,0.0099999999999997,4
10,25,0.0,MVNC,0.0100000000000002,4
10,25,0.0,MVTC,0.02,4
10,25,0.0,MSLC,0.0,4
11,25,0.0,MVN,0.0,4
11,25,0.0,MVT,0.0,4
11,25,0.0,MSL,0.02,4
11,25,0.0,MVNC,0.0,4
11,25,0.0,MVTC,0.0,4
11,25,0.0,MSLC,0.0,4
12,25,0.0,MVN,0.0,4
12,25,0.0,MVT,0.0,4
12,25,0.0,MSL,0.02,4
12,25,0.0,MVNC,0.0,4
12,25,0.0,MVTC,0.02,4
12,25,0.0,MSLC,0.0100000000000002,4
13,25,0.0,MVN,0.0,4
13,25,0.0,MVT,0.0,4
13,25,0.0,MSL,0.0099999999999997,4
13,25,0.0,MVNC,0.0,4
13,25,0.0,MVTC,0.02,4
13,25,0.0,MSLC,0.02,4
14,25,0.0,MVN,0.0,4
14,25,0.0,MVT,0.0099999999999997,4
14,25,0.0,MSL,0.0,4
14,25,0.0,MVNC,0.0,4
14,25,0.0,MVTC,0.0100000000000002,4
14,25,0.0,MSLC,0.02,4
15,25,0.0,MVN,0.0,4
15,25,0.0,MVT,0.0,4
15,25,0.0,MSL,0.02,4
15,25,0.0,MVNC,0.0,4
15,25,0.0,MVTC,0.0,4
15,25,0.0,MSLC,0.0099999999999997,4
16,25,0.0,MVN,0.0100000000000002,4
16,25,0.0,MVT,0.0,4
16,25,0.0,MSL,0.0,4
16,25,0.0,MVNC,0.02,4
16,25,0.0,MVTC,0.0,4
16,25,0.0,MSLC,0.0,4
17,25,0.0,MVN,0.0,4
17,25,0.0,MVT,0.02,4
17,25,0.0,MSL,0.0299999999999998,4
17,25,0.0,MVNC,0.0,4
17,25,0.0,MVTC,0.02,4
17,25,0.0,MSLC,0.0,4
18,25,0.0,MVN,0.0,4
18,25,0.0,MVT,0.0,4
18,25,0.0,MSL,0.0099999999999997,4
18,25,0.0,MVNC,0.0,4
18,25,0.0,MVTC,0.0,4
18,25,0.0,MSLC,0.0,4
19,25,0.0,MVN,0.0,4
19,25,0.0,MVT,0.0,4
19,25,0.0,MSL,0.0,4
19,25,0.0,MVNC,0.0,4
19,25,0.0,MVTC,0.02,4
19,25,0.0,MSLC,0.0099999999999997,4
20,25,0.0,MVN,0.0,4
20,25,0.0,MVT,0.02,4
20,25,0.0,MSL,0.0100000000000002,4
20,25,0.0,MVNC,0.0,4
20,25,0.0,MVTC,0.0099999999999997,4
20,25,0.0,MSLC,0.0,4
21,25,0.0,MVN,0.0,4
21,25,0.0,MVT,0.0,4
21,25,0.0,MSL,0.0500000000000003,4
21,25,0.0,MVNC,0.0,4
21,25,0.0,MVTC,0.0299999999999998,4
21,25,0.0,MSLC,0.02,4
22,25,0.0,MVN,0.0,4
22,25,0.0,MVT,0.0,4
22,25,0.0,MSL,0.0100000000000002,4
22,25,0.0,MVNC,0.0,4
22,25,0.0,MVTC,0.0099999999999997,4
22,25,0.0,MSLC,0.02,4
23,25,0.0,MVN,0.0,4
23,25,0.0,MVT,0.0,4
23,25,0.0,MSL,0.02,4
23,25,0.0,MVNC,0.0,4
23,25,0.0,MVTC,0.0099999999999997,4
23,25,0.0,MSLC,0.02,4
24,25,0.0,MVN,0.0,4
24,25,0.0,MVT,0.0,4
24,25,0.0,MSL,0.02,4
24,25,0.0,MVNC,0.0,4
24,25,0.0,MVTC,0.02,4
24,25,0.0,MSLC,0.0100000000000002,4
25,25,0.0,MVN,0.0,4
25,25,0.0,MVT,0.0,4
25,25,0.0,MSL,0.0,4
25,25,0.0,MVNC,0.0,4
25,25,0.0,MVTC,0.0,4
25,25,0.0,MSLC,0.02,4
26,25,0.0,MVN,0.02,4
26,25,0.0,MVT,0.0,4
26,25,0.0,MSL,0.0,4
26,25,0.0,MVNC,0.0,4
26,25,0.0,MVTC,0.0099999999999997,4
26,25,0.0,MSLC,0.02,4
27,25,0.0,MVN,0.0,4
27,25,0.0,MVT,0.0,4
27,25,0.0,MSL,0.0100000000000002,4
27,25,0.0,MVNC,0.0,4
27,25,0.0,MVTC,0.0099999999999997,4
27,25,0.0,MSLC,0.02,4
28,25,0.0,MVN,0.0,4
28,25,0.0,MVT,0.0,4
28,25,0.0,MSL,0.02,4
28,25,0.0,MVNC,0.0,4
28,25,0.0,MVTC,0.0099999999999997,4
28,25,0.0,MSLC,0.0,4
29,25,0.0,MVN,0.0,4
29,25,0.0,MVT,0.0099999999999997,4
29,25,0.0,MSL,0.0,4
29,25,0.0,MVNC,0.0,4
29,25,0.0,MVTC,0.0,4
29,25,0.0,MSLC,0.0,4
30,25,0.0,MVN,0.0,4
30,25,0.0,MVT,0.0,4
30,25,0.0,MSL,0.0199999999999996,4
30,25,0.0,MVNC,0.0,4
30,25,0.0,MVTC,0.0299999999999994,4
30,25,0.0,MSLC,0.0100000000000007,4
31,25,0.0,MVN,0.0,4
31,25,0.0,MVT,0.0100000000000007,4
31,25,0.0,MSL,0.04,4
31,25,0.0,MVNC,0.0,4
31,25,0.0,MVTC,0.0099999999999997,4
31,25,0.0,MSLC,0.0,4
32,25,0.0,MVN,0.0,4
32,25,0.0,MVT,0.0099999999999997,4
32,25,0.0,MSL,0.0,4
32,25,0.0,MVNC,0.0,4
32,25,0.0,MVTC,0.0199999999999996,4
32,25,0.0,MSLC,0.0200000000000005,4
33,25,0.0,MVN,0.0,4
33,25,0.0,MVT,0.0,4
33,25,0.0,MSL,0.0099999999999997,4
33,25,0.0,MVNC,0.0,4
33,25,0.0,MVTC,0.0099999999999997,4
33,25,0.0,MSLC,0.0200000000000005,4
34,25,0.0,MVN,0.0,4
34,25,0.0,MVT,0.0499999999999998,4
34,25,0.0,MSL,0.0300000000000002,4
34,25,0.0,MVNC,0.0,4
34,25,0.0,MVTC,0.11,4
34,25,0.0,MSLC,0.0199999999999996,4
35,25,0.0,MVN,0.0,4
35,25,0.0,MVT,0.0,4
35,25,0.0,MSL,0.0200000000000005,4
35,25,0.0,MVNC,0.0,4
35,25,0.0,MVTC,0.0199999999999996,4
35,25,0.0,MSLC,0.0099999999999997,4
36,25,0.0,MVN,0.0,4
36,25,0.0,MVT,0.0100000000000007,4
36,25,0.0,MSL,0.0,4
36,25,0.0,MVNC,0.0,4
36,25,0.0,MVTC,0.0300000000000002,4
36,25,0.0,MSLC,0.0,4
37,25,0.0,MVN,0.0,4
37,25,0.0,MVT,0.0,4
37,25,0.0,MSL,0.0199999999999996,4
37,25,0.0,MVNC,0.0,4
37,25,0.0,MVTC,0.0199999999999996,4
37,25,0.0,MSLC,0.0100000000000007,4
38,25,0.0,MVN,0.0,4
38,25,0.0,MVT,0.0200000000000005,4
38,25,0.0,MSL,0.0099999999999997,4
38,25,0.0,MVNC,0.0,4
38,25,0.0,MVTC,0.0099999999999997,4
38,25,0.0,MSLC,0.0,4
39,25,0.0,MVN,0.0,4
39,25,0.0,MVT,0.0,4
39,25,0.0,MSL,0.04,4
39,25,0.0,MVNC,0.0,4
39,25,0.0,MVTC,0.0200000000000005,4
39,25,0.0,MSLC,0.0099999999999997,4
40,25,0.0,MVN,0.0,4
40,25,0.0,MVT,0.0199999999999996,4
40,25,0.0,MSL,0.0099999999999997,4
40,25,0.0,MVNC,0.0,4
40,25,0.0,MVTC,0.0199999999999996,4
40,25,0.0,MSLC,0.0100000000000007,4
41,25,0.0,MVN,0.0,4
41,25,0.0,MVT,0.0,4
41,25,0.0,MSL,0.0099999999999997,4
41,25,0.0,MVNC,0.0,4
41,25,0.0,MVTC,0.0,4
41,25,0.0,MSLC,0.0200000000000005,4
42,25,0.0,MVN,0.0,4
42,25,0.0,MVT,0.0100000000000007,4
42,25,0.0,MSL,0.0199999999999996,4
42,25,0.0,MVNC,0.0199999999999996,4
42,25,0.0,MVTC,0.0099999999999997,4
42,25,0.0,MSLC,0.0,4
43,25,0.0,MVN,0.0,4
43,25,0.0,MVT,0.0,4
43,25,0.0,MSL,0.0200000000000005,4
43,25,0.0,MVNC,0.0,4
43,25,0.0,MVTC,0.0200000000000005,4
43,25,0.0,MSLC,0.0099999999999997,4
44,25,0.0,MVN,0.0,4
44,25,0.0,MVT,0.0,4
44,25,0.0,MSL,0.0199999999999996,4
44,25,0.0,MVNC,0.0,4
44,25,0.0,MVTC,0.0099999999999997,4
44,25,0.0,MSLC,0.0,4
45,25,0.0,MVN,0.0,4
45,25,0.0,MVT,0.0,4
45,25,0.0,MSL,0.0300000000000002,4
45,25,0.0,MVNC,0.0,4
45,25,0.0,MVTC,0.0100000000000007,4
45,25,0.0,MSLC,0.0199999999999996,4
46,25,0.0,MVN,0.0,4
46,25,0.0,MVT,0.0099999999999997,4
46,25,0.0,MSL,0.0199999999999996,4
46,25,0.0,MVNC,0.0,4
46,25,0.0,MVTC,0.04,4
46,25,0.0,MSLC,0.0,4
47,25,0.0,MVN,0.0,4
47,25,0.0,MVT,0.0,4
47,25,0.0,MSL,0.0100000000000007,4
47,25,0.0,MVNC,0.0,4
47,25,0.0,MVTC,0.0199999999999996,4
47,25,0.0,MSLC,0.0,4
48,25,0.0,MVN,0.0,4
48,25,0.0,MVT,0.0099999999999997,4
48,25,0.0,MSL,0.0200000000000005,4
48,25,0.0,MVNC,0.0,4
48,25,0.0,MVTC,0.0199999999999996,4
48,25,0.0,MSLC,0.0,4
49,25,0.0,MVN,0.0,4
49,25,0.0,MVT,0.0099999999999997,4
49,25,0.0,MSL,0.0300000000000002,4
49,25,0.0,MVNC,0.0199999999999996,4
49,25,0.0,MVTC,0.0100000000000007,4
49,25,0.0,MSLC,0.0,4
50,25,0.0,MVN,0.0,4
50,25,0.0,MVT,0.0099999999999997,4
50,25,0.0,MSL,0.0,4
50,25,0.0,MVNC,0.0,4
50,25,0.0,MVTC,0.0200000000000005,4
50,25,0.0,MSLC,0.0,4
51,25,0.0,MVN,0.0,4
51,25,0.0,MVT,0.0,4
51,25,0.0,MSL,0.0199999999999996,4
51,25,0.0,MVNC,0.0,4
51,25,0.0,MVTC,0.0199999999999996,4
51,25,0.0,MSLC,0.0100000000000007,4
52,25,0.0,MVN,0.0,4
52,25,0.0,MVT,0.0,4
52,25,0.0,MSL,0.0099999999999997,4
52,25,0.0,MVNC,0.0,4
52,25,0.0,MVTC,0.04,4
52,25,0.0,MSLC,0.0099999999999997,4
53,25,0.0,MVN,0.0,4
53,25,0.0,MVT,0.0099999999999997,4
