Rep,N,Crate,Model,SE1,SE2,SE3,nu
1,25,0.0,MVN,0.674709750618632,0.494526946663092,0.385927175835313,4
1,25,0.0,MVT,0.573797454338285,0.410026891674809,0.322704348499796,4
1,25,0.0,MSL,0.556845358535697,0.393489738348112,0.320826085363784,4
1,25,0.0,MVNC,0.674709750618632,0.494526946663092,0.385927175835314,4
1,25,0.0,MVTC,0.573797454326723,0.410026891665804,0.322704348492049,4
1,25,0.0,MSLC,0.571339649828117,0.40531497950899,0.331593249563135,4
2,25,0.0,MVN,0.416992925101755,0.357700679646541,0.300928234270112,4
2,25,0.0,MVT,0.416269192971976,0.359323370895708,0.305622533098172,4
2,25,0.0,MSL,0.413623186993468,0.357422337703575,0.305141970217825,4
2,25,0.0,MVNC,0.416992925101755,0.357700679646541,0.300928234270111,4
2,25,0.0,MVTC,0.416269192826384,0.359323370768183,0.305622532986892,4
2,25,0.0,MSLC,0.414947006403764,0.35813358654383,0.304840505194519,4
3,25,0.0,MVN,0.711868067962047,0.459018767992252,0.354227604611947,4
3,25,0.0,MVT,0.600657348422839,0.441549041753642,0.366366724121803,4
3,25,0.0,MSL,0.576820367427653,0.437083274447163,0.361894121319523,4
3,25,0.0,MVNC,0.711868067962047,0.459018767992252,0.354227604611948,4
3,25,0.0,MVTC,0.600657348414732,0.441549041747509,0.366366724115895,4
3,25,0.0,MSLC,0.57801005813511,0.437304002656351,0.361714214178195,4
4,25,0.0,MVN,0.501418971958186,0.348295918398533,0.257333369005164,4
4,25,0.0,MVT,0.501445524832793,0.348308582682741,0.257333557243463,4
4,25,0.0,MSL,0.501636548683887,0.348399354606376,0.257332425062329,4
4,25,0.0,MVNC,0.501418971958186,0.348295918398533,0.257333369005164,4
4,25,0.0,MVTC,0.501445535829055,0.348308587927437,0.257333557315155,4
4,25,0.0,MSLC,0.504906742927418,0.350017990702397,0.25708708140062,4
5,25,0.0,MVN,0.562709789741885,0.449446004345031,0.443586310478943,4
5,25,0.0,MVT,0.570674871763738,0.465997764912083,0.327654451212834,4
5,25,0.0,MSL,0.573508820670383,0.461367819594212,0.321052744083975,4
5,25,0.0,MVNC,0.562709789741885,0.449446004345031,0.443586310478943,4
5,25,0.0,MVTC,0.570674870914323,0.465997764107969,0.327654450944526,4
5,25,0.0,MSLC,0.573251152604872,0.461915932222022,0.320048767466994,4
6,25,0.0,MVN,0.567144307001225,0.36863831755395,0.346337471274397,4
6,25,0.0,MVT,0.567145683496139,0.368638910356393,0.34633782705257,4
6,25,0.0,MSL,0.567302217552965,0.36870765045669,0.346380488258354,4
6,25,0.0,MVNC,0.567144307001224,0.36863831755395,0.346337471274397,4
6,25,0.0,MVTC,0.56714553352741,0.368638845771058,0.346337788291198,4
6,25,0.0,MSLC,0.582578243155491,0.375785862398188,0.351141612824929,4
7,25,0.0,MVN,0.66908717766964,0.46753323794338,0.249947164808875,4
7,25,0.0,MVT,0.669088662804087,0.467535436492911,0.249947929925812,4
7,25,0.0,MSL,0.669176054834192,0.467657933383119,0.2499919551458,4
7,25,0.0,MVNC,0.66908717766964,0.46753323794338,0.249947164808875,4
7,25,0.0,MVTC,0.669087679516918,0.467533980822743,0.249947423342273,4
7,25,0.0,MSLC,0.675804781609433,0.478397959357473,0.254082249848642,4
8,25,0.0,MVN,0.510456923994853,0.406586961164668,0.264425300004486,4
8,25,0.0,MVT,0.523528609753602,0.40038118519457,0.246499314183252,4
8,25,0.0,MSL,0.521407234803143,0.404782566187524,0.241053012274927,4
8,25,0.0,MVNC,0.510456923994853,0.406586961164668,0.264425300004486,4
8,25,0.0,MVTC,0.523528609757446,0.400381185207139,0.246499314194738,4
8,25,0.0,MSLC,0.519833073958459,0.405119837720698,0.242637578536965,4
9,25,0.0,MVN,0.787066712536863,0.527903508807058,0.412978216949095,4
9,25,0.0,MVT,0.771394328141772,0.525413536156822,0.412453299917759,4
9,25,0.0,MSL,0.784272318758724,0.526803578697827,0.412246646798644,4
9,25,0.0,MVNC,0.787066712536863,0.527903508807058,0.412978216949095,4
9,25,0.0,MVTC,0.771394328068327,0.525413536149756,0.412453299920271,4
9,25,0.0,MSLC,0.72771273797899,0.521521382979761,0.413208084811381,4
10,25,0.0,MVN,0.531251360898588,0.464796962107995,0.228379450397865,4
10,25,0.0,MVT,0.509038383210878,0.45824812182892,0.221332991497768,4
10,25,0.0,MSL,0.506538882141165,0.458093318002754,0.221521497165105,4
10,25,0.0,MVNC,0.531251360898588,0.464796962107996,0.228379450397865,4
10,25,0.0,MVTC,0.509038383193948,0.458248121828693,0.221332991493389,4
10,25,0.0,MSLC,0.51791982363369,0.461817767901839,0.224778732401,4
11,25,0.0,MVN,0.426926810458182,0.527992259204282,0.314074009327982,4
11,25,0.0,MVT,0.409343609915446,0.5141692783714,0.29691114332517,4
11,25,0.0,MSL,0.414688741357767,0.521429132192422,0.294835809205298,4
11,25,0.0,MVNC,0.426926810458181,0.527992259204282,0.314074009327982,4
11,25,0.0,MVTC,0.409343609958467,0.514169278427732,0.296911143360601,4
11,25,0.0,MSLC,0.416432542987002,0.522747815369914,0.296075707867922,4
12,25,0.0,MVN,0.352093582010736,0.393939857250386,0.36331131803224,4
12,25,0.0,MVT,0.352093842133368,0.393939824155473,0.36331176318429,4
12,25,0.0,MSL,0.352183798134543,0.393933271737668,0.363460573641116,4
12,25,0.0,MVNC,0.352093582010736,0.393939857250386,0.36331131803224,4
12,25,0.0,MVTC,0.352098815229548,0.393939188976316,0.363320275516955,4
12,25,0.0,MSLC,0.356611882274812,0.392760528140248,0.370929055033186,4
13,25,0.0,MVN,0.409821730704765,0.345025134861152,0.290809385822456,4
13,25,0.0,MVT,0.409954616190637,0.345093750740407,0.290842459877232,4
13,25,0.0,MSL,0.409987363158889,0.345114434501463,0.290856817529241,4
13,25,0.0,MVNC,0.409821730704765,0.345025134861152,0.290809385822457,4
13,25,0.0,MVTC,0.40995461480065,0.345093750026264,0.290842459535205,4
13,25,0.0,MSLC,0.412257794017657,0.346379599909789,0.291607305422489,4
14,25,0.0,MVN,0.59061925268667,0.551590799897267,0.34071856669842,4
14,25,0.0,MVT,0.594186409427682,0.561965370000693,0.324591707394079,4
14,25,0.0,MSL,0.596457641228949,0.559724766977322,0.315347800624868,4
14,25,0.0,MVNC,0.59061925268667,0.551590799897267,0.340718566698421,4
14,25,0.0,MVTC,0.594186409410593,0.561965369995135,0.32459170736444,4
14,25,0.0,MSLC,0.594451935886364,0.562738113841756,0.308561327152465,4
15,25,0.0,MVN,0.365265988487692,0.317189378268888,0.309796254298151,4
15,25,0.0,MVT,0.386702542844964,0.285135368274038,0.255360553377,4
15,25,0.0,MSL,0.379351912817795,0.278012245586736,0.242993610461797,4
15,25,0.0,MVNC,0.365265988487692,0.317189378268889,0.309796254298151,4
15,25,0.0,MVTC,0.386702542851944,0.285135368286134,0.255360553390836,4
15,25,0.0,MSLC,0.370743999675654,0.290386474946235,0.264294378827176,4
16,25,0.0,MVN,0.56888355811433,0.42838467036236,0.327337298746288,4
16,25,0.0,MVT,0.513406636031572,0.423242915683816,0.346458336101348,4
16,25,0.0,MSL,0.525456654286187,0.427496422039818,0.344616503165579,4
16,25,0.0,MVNC,0.56888355811433,0.42838467036236,0.327337298746288,4
16,25,0.0,MVTC,0.513406635988431,0.423242915671921,0.346458336103889,4
16,25,0.0,MSLC,0.530245488655435,0.430748730062457,0.336327521585082,4
17,25,0.0,MVN,0.530072809763277,0.384507255728906,0.22438044948493,4
17,25,0.0,MVT,0.529221551273193,0.389210653773264,0.223189833835095,4
17,25,0.0,MSL,0.529344046567801,0.386867321913419,0.223392923402618,4
17,25,0.0,MVNC,0.530072809763277,0.384507255728906,0.224380449484929,4
17,25,0.0,MVTC,0.529221551274246,0.389210653789798,0.223189833833638,4
17,25,0.0,MSLC,0.529524817890626,0.390771348428447,0.222363966671477,4
18,25,0.0,MVN,0.435151127808476,0.412758271105332,0.344836794156797,4
18,25,0.0,MVT,0.413796645994795,0.346454303220482,0.263142519228818,4
18,25,0.0,MSL,0.437279624811653,0.366228425403729,0.271594225736118,4
18,25,0.0,MVNC,0.435151127808476,0.412758271105333,0.344836794156797,4
18,25,0.0,MVTC,0.41379664599542,0.34645430326343,0.263142519244004,4
18,25,0.0,MSLC,0.439855083228885,0.369346262448094,0.277303783932555,4
19,25,0.0,MVN,0.605662194669735,0.593536813486266,0.447824005320109,4
19,25,0.0,MVT,0.562814249129982,0.500696670563972,0.389655352148874,4
19,25,0.0,MSL,0.552277200040478,0.501607428217416,0.404066404282704,4
19,25,0.0,MVNC,0.605662194669736,0.593536813486266,0.447824005320109,4
19,25,0.0,MVTC,0.562814249133994,0.500696670584206,0.389655352167275,4
19,25,0.0,MSLC,0.55037441664055,0.498425309332683,0.400713604055107,4
20,25,0.0,MVN,0.590254308657459,0.409509649004028,0.326218299329472,4
20,25,0.0,MVT,0.525016708161372,0.394596940995366,0.337309862583297,4
20,25,0.0,MSL,0.519842970292094,0.384552904922804,0.339337168789294,4
20,25,0.0,MVNC,0.59025430865746,0.409509649004028,0.326218299329472,4
20,25,0.0,MVTC,0.525016708180461,0.394596941010492,0.337309862595178,4
20,25,0.0,MSLC,0.525574726944186,0.383901958859592,0.336991427854347,4
21,25,0.0,MVN,0.414816540169207,0.384743932764408,0.28485711533654,4
21,25,0.0,MVT,0.41376909009281,0.381564600373618,0.284684125263691,4
21,25,0.0,MSL,0.411221872994557,0.376602662404922,0.283652580419661,4
21,25,0.0,MVNC,0.414816540169207,0.384743932764408,0.28485711533654,4
21,25,0.0,MVTC,0.414594250793424,0.38405814947633,0.284824177817764,4
21,25,0.0,MSLC,0.398288078046929,0.344405896085884,0.279817851535899,4
22,25,0.0,MVN,0.619698059753383,0.524023642939173,0.48258890319875,4
22,25,0.0,MVT,0.558370422745877,0.474226495246719,0.405362861108598,4
22,25,0.0,MSL,0.568665485760311,0.484684338507359,0.415862408220707,4
22,25,0.0,MVNC,0.619698059753383,0.524023642939173,0.48258890319875,4
22,25,0.0,MVTC,0.558370422710852,0.47422649521695,0.405362861106837,4
22,25,0.0,MSLC,0.577633722598337,0.493005655680488,0.428034894229114,4
23,25,0.0,MVN,0.429366711479871,0.334308573661111,0.272570983195912,4
23,25,0.0,MVT,0.429366201044148,0.33430854099077,0.272571246028425,4
23,25,0.0,MSL,0.429283406229709,0.33436300864097,0.272710076194241,4
23,25,0.0,MVNC,0.429366711479871,0.334308573661111,0.272570983195912,4
23,25,0.0,MVTC,0.429366338297639,0.334308549773984,0.272571175351631,4
23,25,0.0,MSLC,0.428768129796598,0.334810008875898,0.273733628533865,4
24,25,0.0,MVN,0.612172536357305,0.535414224414341,0.351184331122014,4
24,25,0.0,MVT,0.586364905225555,0.528842631063862,0.354918702860121,4
24,25,0.0,MSL,0.59071188107645,0.532849468927062,0.358843107410244,4
24,25,0.0,MVNC,0.612172536357305,0.535414224414341,0.351184331122014,4
24,25,0.0,MVTC,0.586364905233835,0.528842631067715,0.354918702861544,4
24,25,0.0,MSLC,0.583723315280331,0.531249735159238,0.359856254621614,4
25,25,0.0,MVN,0.53830968744312,0.452718690126473,0.277927699058198,4
25,25,0.0,MVT,0.498848179522541,0.445110353613261,0.274735602266203,4
25,25,0.0,MSL,0.520633301859846,0.453828556156537,0.28112181249962,4
25,25,0.0,MVNC,0.538309687443119,0.452718690126473,0.277927699058198,4
25,25,0.0,MVTC,0.498848179519656,0.445110353612704,0.274735602265858,4
25,25,0.0,MSLC,0.53250459382714,0.453984568835636,0.279583725024024,4
26,25,0.0,MVN,0.389716834108393,0.467274349900502,0.279114290509034,4
26,25,0.0,MVT,0.386431037461148,0.462745742859714,0.279192231474687,4
26,25,0.0,MSL,0.387776904092728,0.464754073119801,0.279341862476009,4
26,25,0.0,MVNC,0.389716834108393,0.467274349900502,0.279114290509034,4
26,25,0.0,MVTC,0.386431037488091,0.462745742890955,0.279192231497636,4
26,25,0.0,MSLC,0.387146093641279,0.463697589297226,0.279581617652146,4
27,25,0.0,MVN,0.646485262407455,0.530717857321042,0.338846527813116,4
27,25,0.0,MVT,0.646485457039712,0.530717756305227,0.338847428459542,4
27,25,0.0,MSL,0.646540922148729,0.530707904930374,0.339041133865642,4
27,25,0.0,MVNC,0.646485262407455,0.530717857321042,0.338846527813116,4
27,25,0.0,MVTC,0.646485258650605,0.530717719395862,0.338846961419875,4
27,25,0.0,MSLC,0.633020684415518,0.513763927239964,0.361621831871772,4
28,25,0.0,MVN,0.636583904864218,0.565003945971635,0.395450704415093,4
28,25,0.0,MVT,0.578327952110067,0.525483592090595,0.357164877739745,4
28,25,0.0,MSL,0.586873936613837,0.528789885810643,0.350306238828502,4
28,25,0.0,MVNC,0.636583904864219,0.565003945971635,0.395450704415093,4
28,25,0.0,MVTC,0.578327952064188,0.525483592058768,0.3571648777319,4
28,25,0.0,MSLC,0.58562539741795,0.527603115087931,0.34984357523846,4
29,25,0.0,MVN,0.533438620478997,0.441459127968197,0.293818403300885,4
29,25,0.0,MVT,0.533441100516954,0.441463291089578,0.293822090486727,4
29,25,0.0,MSL,0.533486067918284,0.441536282025494,0.293886413456027,4
29,25,0.0,MVNC,0.533438620478997,0.441459127968197,0.293818403300885,4
29,25,0.0,MVTC,0.533439124984362,0.441459974760877,0.293819153263489,4
29,25,0.0,MSLC,0.536902131209559,0.447046554503357,0.298833653800434,4
30,25,0.0,MVN,0.561066535975016,0.624187437054103,0.318604908970423,4
30,25,0.0,MVT,0.570894599300681,0.570606704647114,0.292991820347607,4
30,25,0.0,MSL,0.567066774426079,0.549265692560643,0.283585390258267,4
30,25,0.0,MVNC,0.561066535975016,0.624187437054102,0.318604908970423,4
30,25,0.0,MVTC,0.570894599300079,0.57060670466654,0.292991820357505,4
30,25,0.0,MSLC,0.570904738690262,0.543267642539769,0.281260354737481,4
31,25,0.0,MVN,0.505486243040091,0.418880570480326,0.337887489399583,4
31,25,0.0,MVT,0.508465677995165,0.419891274351215,0.339641912413777,4
31,25,0.0,MSL,0.505324312644488,0.418316294332409,0.337775812692651,4
31,25,0.0,MVNC,0.505486243040091,0.418880570480326,0.337887489399583,4
31,25,0.0,MVTC,0.508465677961414,0.419891274338205,0.339641912394422,4
31,25,0.0,MSLC,0.513689984388976,0.419907021154692,0.34363747281439,4
32,25,0.0,MVN,0.559151835148493,0.339946691468194,0.321962635089671,4
32,25,0.0,MVT,0.51439819868387,0.332734223756526,0.280479128991514,4
32,25,0.0,MSL,0.5385520210868,0.338285633669959,0.27219299569217,4
32,25,0.0,MVNC,0.559151835148493,0.339946691468194,0.321962635089671,4
32,25,0.0,MVTC,0.514398198705821,0.33273422377988,0.280479129009997,4
32,25,0.0,MSLC,0.544932083180933,0.34002497935284,0.278825788213743,4
33,25,0.0,MVN,1.07883746271773,0.827858478714755,0.537126821542625,4
33,25,0.0,MVT,0.500696190502809,0.391351415013202,0.341818401441342,4
33,25,0.0,MSL,0.494097627661715,0.388116965181489,0.339471683628473,4
33,25,0.0,MVNC,1.07883746271773,0.827858478714755,0.537126821542625,4
33,25,0.0,MVTC,0.500696190499465,0.391351415010618,0.341818401439695,4
33,25,0.0,MSLC,0.504874991567385,0.396597113981708,0.34264994231926,4
34,25,0.0,MVN,0.732009553214334,0.434056574543563,0.321647483544961,4
34,25,0.0,MVT,0.728175456824182,0.43326249178543,0.321371545874146,4
34,25,0.0,MSL,0.731269937294358,0.433950751170476,0.321633522118775,4
34,25,0.0,MVNC,0.732009553214335,0.434056574543564,0.32164748354496,4
34,25,0.0,MVTC,0.730014975622062,0.433672282058546,0.321524537549407,4
34,25,0.0,MSLC,0.645716260586073,0.404203895257203,0.307627174071781,4
35,25,0.0,MVN,0.496359662737535,0.406578202605994,0.232164975905153,4
35,25,0.0,MVT,0.496361390841826,0.406579035540574,0.232166207310505,4
35,25,0.0,MSL,0.496500757940197,0.406655022899736,0.232262181171225,4
35,25,0.0,MVNC,0.496359662737535,0.406578202605994,0.232164975905153,4
35,25,0.0,MVTC,0.496360005812514,0.40657836797913,0.232165220365661,4
35,25,0.0,MSLC,0.503919007941806,0.411193075062352,0.23745910148912,4
36,25,0.0,MVN,0.550058165281364,0.521384383046601,0.38061970618173,4
36,25,0.0,MVT,0.533376210559901,0.461885967170143,0.359574545263304,4
36,25,0.0,MSL,0.543780611711979,0.477231984819869,0.363513720918303,4
36,25,0.0,MVNC,0.550058165281364,0.521384383046601,0.38061970618173,4
36,25,0.0,MVTC,0.533376210542862,0.461885967178511,0.359574545250497,4
36,25,0.0,MSLC,0.541646967981493,0.471417895951338,0.359344455476235,4
37,25,0.0,MVN,0.417805126297839,0.37488436912496,0.254145984573336,4
37,25,0.0,MVT,0.417806291695898,0.374885314645049,0.254146077210468,4
37,25,0.0,MSL,0.417996446314182,0.375040706067841,0.25416697998686,4
37,25,0.0,MVNC,0.417805126297838,0.37488436912496,0.254145984573336,4
37,25,0.0,MVTC,0.417809265403833,0.374887727291135,0.254146313438892,4
37,25,0.0,MSLC,0.426443584959342,0.382068037298199,0.255147990137959,4
38,25,0.0,MVN,0.646413775782838,0.516805210155141,0.359929846672944,4
