Rep,N,Crate,Model,LogLik,AIC,BIC,nu
1,25,0.0,MVN,-143.898489345674,305.796978691348,316.766861115162,4
1,25,0.0,MVT,-142.086548689248,304.173097378496,316.361855627178,4
1,25,0.0,MSL,-142.057051057396,304.114102114791,316.302860363473,4
1,25,0.0,MVNC,-143.898489345674,305.796978691348,316.766861115162,4
1,25,0.0,MVTC,-142.086548689254,304.173097378508,316.36185562719,4
1,25,0.0,MSLC,-142.174485014732,304.348970029463,316.537728278145,4
2,25,0.0,MVN,-127.341115450067,272.682230900134,283.652113323947,4
2,25,0.0,MVT,-127.306895274486,274.613790548973,286.802548797655,4
2,25,0.0,MSL,-127.305342728374,274.610685456748,286.79944370543,4
2,25,0.0,MVNC,-127.341115450067,272.682230900134,283.652113323947,4
2,25,0.0,MVTC,-127.306895274495,274.61379054899,286.802548797672,4
2,25,0.0,MSLC,-127.300623264705,274.60124652941,286.790004778092,4
3,25,0.0,MVN,-141.271359348349,300.542718696698,311.512601120512,4
3,25,0.0,MVT,-140.193226191213,300.386452382426,312.575210631108,4
3,25,0.0,MSL,-139.232582195692,298.465164391384,310.653922640066,4
3,25,0.0,MVNC,-141.271359348349,300.542718696698,311.512601120512,4
3,25,0.0,MVTC,-140.193226191214,300.386452382428,312.57521063111,4
3,25,0.0,MSLC,-139.234458855002,298.468917710005,310.657675958687,4
4,25,0.0,MVN,-128.562472702668,275.124945405337,286.09482782915,4
4,25,0.0,MVT,-128.563022051089,277.126044102179,289.314802350861,4
4,25,0.0,MSL,-128.56863775334,277.137275506681,289.326033755363,4
4,25,0.0,MVNC,-128.562472702668,275.124945405337,286.09482782915,4
4,25,0.0,MVTC,-128.563022279399,277.126044558799,289.314802807481,4
4,25,0.0,MSLC,-128.76096224936,277.521924498719,289.710682747401,4
5,25,0.0,MVN,-151.396143556007,320.792287112013,331.762169535827,4
5,25,0.0,MVT,-149.141784427397,318.283568854795,330.472327103477,4
5,25,0.0,MSL,-148.347336645772,316.694673291544,328.883431540226,4
5,25,0.0,MVNC,-151.396143556007,320.792287112013,331.762169535827,4
5,25,0.0,MVTC,-149.14178442741,318.283568854819,330.472327103501,4
5,25,0.0,MSLC,-148.351532462053,316.703064924107,328.891823172789,4
6,25,0.0,MVN,-135.563273126217,289.126546252433,300.096428676247,4
6,25,0.0,MVT,-135.563326874897,291.126653749794,303.315411998476,4
6,25,0.0,MSL,-135.56975002251,291.13950004502,303.328258293702,4
6,25,0.0,MVNC,-135.563273126217,289.126546252433,300.096428676247,4
6,25,0.0,MVTC,-135.563321027884,291.126642055768,303.31540030445,4
6,25,0.0,MSLC,-136.542328579972,293.084657159943,305.273415408625,4
7,25,0.0,MVN,-132.973885901613,283.947771803225,294.917654227039,4
7,25,0.0,MVT,-132.974009146575,285.948018293149,298.136776541831,4
7,25,0.0,MSL,-132.981211033359,285.962422066719,298.151180315401,4
7,25,0.0,MVNC,-132.973885901613,283.947771803225,294.917654227039,4
7,25,0.0,MVTC,-132.973927537904,285.947855075809,298.136613324491,4
7,25,0.0,MSLC,-134.037763556227,288.075527112454,300.264285361136,4
8,25,0.0,MVN,-136.480532327261,290.961064654521,301.930947078335,4
8,25,0.0,MVT,-136.030251030603,292.060502061205,304.249260309887,4
8,25,0.0,MSL,-135.690557526307,291.381115052614,303.569873301296,4
8,25,0.0,MVNC,-136.480532327261,290.961064654521,301.930947078335,4
8,25,0.0,MVTC,-136.030251030587,292.060502061173,304.249260309855,4
8,25,0.0,MSLC,-135.726939018327,291.453878036653,303.642636285335,4
9,25,0.0,MVN,-154.798778293647,327.597556587294,338.567439011107,4
9,25,0.0,MVT,-154.791368443343,329.582736886687,341.771495135369,4
9,25,0.0,MSL,-154.803577374389,329.607154748779,341.795912997461,4
9,25,0.0,MVNC,-154.798778293647,327.597556587294,338.567439011107,4
9,25,0.0,MVTC,-154.791368443408,329.582736886817,341.771495135499,4
9,25,0.0,MSLC,-156.021915985148,332.043831970296,344.232590218978,4
10,25,0.0,MVN,-126.790095254771,271.580190509541,282.550072933355,4
10,25,0.0,MVT,-126.727487125173,273.454974250347,285.643732499029,4
10,25,0.0,MSL,-126.76535519024,273.53071038048,285.719468629162,4
10,25,0.0,MVNC,-126.790095254771,271.580190509541,282.550072933355,4
10,25,0.0,MVTC,-126.727487125195,273.454974250391,285.643732499073,4
10,25,0.0,MSLC,-126.759699351757,273.519398703515,285.708156952197,4
11,25,0.0,MVN,-133.923068562754,285.846137125507,296.816019549321,4
11,25,0.0,MVT,-132.755752692804,285.511505385607,297.700263634289,4
11,25,0.0,MSL,-132.807412492912,285.614824985825,297.803583234507,4
11,25,0.0,MVNC,-133.923068562754,285.846137125507,296.816019549321,4
11,25,0.0,MVTC,-132.755752692802,285.511505385604,297.700263634286,4
11,25,0.0,MSLC,-132.844571302834,285.689142605668,297.87790085435,4
12,25,0.0,MVN,-131.756664634906,281.513329269811,292.483211693625,4
12,25,0.0,MVT,-131.756685879016,283.513371758033,295.702130006715,4
12,25,0.0,MSL,-131.764321139244,283.528642278488,295.71740052717,4
12,25,0.0,MVNC,-131.756664634906,281.513329269811,292.483211693625,4
12,25,0.0,MVTC,-131.757092359872,283.514184719743,295.702942968425,4
12,25,0.0,MSLC,-132.388640741434,284.777281482868,296.96603973155,4
13,25,0.0,MVN,-128.978664377585,275.957328755169,286.927211178983,4
13,25,0.0,MVT,-128.98522284588,277.97044569176,290.159203940442,4
13,25,0.0,MSL,-128.987416461841,277.974832923682,290.163591172364,4
13,25,0.0,MVNC,-128.978664377585,275.957328755169,286.927211178983,4
13,25,0.0,MVTC,-128.985222776776,277.970445553553,290.159203802235,4
13,25,0.0,MSLC,-129.151150776232,278.302301552464,290.491059801146,4
14,25,0.0,MVN,-148.992704930923,315.985409861846,326.955292285659,4
14,25,0.0,MVT,-148.728725476941,317.457450953882,329.646209202564,4
14,25,0.0,MSL,-148.56968168724,317.139363374481,329.328121623163,4
14,25,0.0,MVNC,-148.992704930923,315.985409861845,326.955292285659,4
14,25,0.0,MVTC,-148.728725476962,317.457450953925,329.646209202607,4
14,25,0.0,MSLC,-148.873078618245,317.74615723649,329.934915485172,4
15,25,0.0,MVN,-122.611163993533,263.222327987066,274.19221041088,4
15,25,0.0,MVT,-121.580522581297,263.161045162595,275.349803411277,4
15,25,0.0,MSL,-120.872248032289,261.744496064578,273.93325431326,4
15,25,0.0,MVNC,-122.611163993533,263.222327987066,274.19221041088,4
15,25,0.0,MVTC,-121.580522581291,263.161045162582,275.349803411264,4
15,25,0.0,MSLC,-121.6521535624,263.3043071248,275.493065373482,4
16,25,0.0,MVN,-141.071936425154,300.143872850307,311.113755274121,4
16,25,0.0,MVT,-138.769092730878,297.538185461757,309.726943710439,4
16,25,0.0,MSL,-138.991165402847,297.982330805693,310.171089054375,4
16,25,0.0,MVNC,-141.071936425154,300.143872850307,311.113755274121,4
16,25,0.0,MVTC,-138.76909273089,297.538185461781,309.726943710463,4
16,25,0.0,MSLC,-139.33304725729,298.666094514579,310.854852763261,4
17,25,0.0,MVN,-131.298564586854,280.597129173709,291.567011597522,4
17,25,0.0,MVT,-131.228366138728,282.456732277455,294.645490526137,4
17,25,0.0,MSL,-131.288830019144,282.577660038289,294.766418286971,4
17,25,0.0,MVNC,-131.298564586854,280.597129173709,291.567011597522,4
17,25,0.0,MVTC,-131.228366138764,282.456732277528,294.64549052621,4
17,25,0.0,MSLC,-131.363411177695,282.72682235539,294.915580604072,4
18,25,0.0,MVN,-141.580618600053,301.161237200106,312.13111962392,4
18,25,0.0,MVT,-137.951566906754,295.903133813508,308.09189206219,4
18,25,0.0,MSL,-137.982965311979,295.965930623959,308.154688872641,4
18,25,0.0,MVNC,-141.580618600053,301.161237200106,312.13111962392,4
18,25,0.0,MVTC,-137.951566906719,295.903133813439,308.091892062121,4
18,25,0.0,MSLC,-138.255978962251,296.511957924503,308.700716173185,4
19,25,0.0,MVN,-145.792910255299,309.585820510598,320.555702934412,4
19,25,0.0,MVT,-144.374894624567,308.749789249133,320.938547497815,4
19,25,0.0,MSL,-144.549899227358,309.099798454715,321.288556703397,4
19,25,0.0,MVNC,-145.792910255299,309.585820510598,320.555702934412,4
19,25,0.0,MVTC,-144.374894624549,308.749789249098,320.93854749778,4
19,25,0.0,MSLC,-144.552428339458,309.104856678917,321.293614927599,4
20,25,0.0,MVN,-139.138589199869,296.277178399737,307.247060823551,4
20,25,0.0,MVT,-137.895604413532,295.791208827065,307.979967075747,4
20,25,0.0,MSL,-137.769586154214,295.539172308427,307.727930557109,4
20,25,0.0,MVNC,-139.138589199869,296.277178399737,307.247060823551,4
20,25,0.0,MVTC,-137.895604413529,295.791208827057,307.979967075739,4
20,25,0.0,MSLC,-137.860275848198,295.720551696395,307.909309945077,4
21,25,0.0,MVN,-138.309742130786,294.619484261572,305.589366685385,4
21,25,0.0,MVT,-138.321375563806,296.642751127613,308.831509376295,4
21,25,0.0,MSL,-138.329087747129,296.658175494259,308.846933742941,4
21,25,0.0,MVNC,-138.309742130786,294.619484261572,305.589366685385,4
21,25,0.0,MVTC,-138.312147413487,296.624294826973,308.813053075655,4
21,25,0.0,MSLC,-138.475358969162,296.950717938324,309.139476187006,4
22,25,0.0,MVN,-143.878845410901,305.757690821801,316.727573245615,4
22,25,0.0,MVT,-141.411023950579,302.822047901158,315.01080614984,4
22,25,0.0,MSL,-141.759340277565,303.51868055513,315.707438803812,4
22,25,0.0,MVNC,-143.878845410901,305.757690821801,316.727573245615,4
22,25,0.0,MVTC,-141.411023950572,302.822047901144,315.010806149826,4
22,25,0.0,MSLC,-141.868905738026,303.737811476052,315.926569724734,4
23,25,0.0,MVN,-127.575762049308,273.151524098617,284.121406522431,4
23,25,0.0,MVT,-127.575782555449,275.151565110898,287.34032335958,4
23,25,0.0,MSL,-127.584975728864,275.169951457727,287.358709706409,4
23,25,0.0,MVNC,-127.575762049308,273.151524098617,284.121406522431,4
23,25,0.0,MVTC,-127.575777044046,275.151554088092,287.340312336774,4
23,25,0.0,MSLC,-127.670471626524,275.340943253049,287.529701501731,4
24,25,0.0,MVN,-149.21300784754,316.426015695081,327.395898118894,4
24,25,0.0,MVT,-148.64303611129,317.28607222258,329.474830471262,4
24,25,0.0,MSL,-148.906993176692,317.813986353383,330.002744602065,4
24,25,0.0,MVNC,-149.21300784754,316.426015695081,327.395898118894,4
24,25,0.0,MVTC,-148.643036111282,317.286072222564,329.474830471246,4
24,25,0.0,MSLC,-149.008392559451,318.016785118902,330.205543367584,4
25,25,0.0,MVN,-127.332950691184,272.665901382368,283.635783806182,4
25,25,0.0,MVT,-127.111395277862,274.222790555724,286.411548804406,4
25,25,0.0,MSL,-127.29534974878,274.590699497561,286.779457746243,4
25,25,0.0,MVNC,-127.332950691184,272.665901382368,283.635783806182,4
25,25,0.0,MVTC,-127.111395277864,274.222790555729,286.411548804411,4
25,25,0.0,MSLC,-127.306115725499,274.612231450998,286.80098969968,4
26,25,0.0,MVN,-131.467307331775,280.93461466355,291.904497087364,4
26,25,0.0,MVT,-131.403556005378,282.807112010756,294.995870259438,4
26,25,0.0,MSL,-131.41403272068,282.828065441361,295.016823690043,4
26,25,0.0,MVNC,-131.467307331775,280.93461466355,291.904497087364,4
26,25,0.0,MVTC,-131.403556005379,282.807112010758,294.99587025944,4
26,25,0.0,MSLC,-131.45519956433,282.910399128659,295.099157377341,4
27,25,0.0,MVN,-159.520463975263,337.040927950526,348.01081037434,4
27,25,0.0,MVT,-159.52049554284,339.040991085681,351.229749334363,4
27,25,0.0,MSL,-159.528033356722,339.056066713443,351.244824962125,4
27,25,0.0,MVNC,-159.520463975263,337.040927950526,348.01081037434,4
27,25,0.0,MVTC,-159.52047997782,339.04095995564,351.229718204322,4
27,25,0.0,MSLC,-161.991491070592,343.982982141184,356.171740389866,4
28,25,0.0,MVN,-151.732324876698,321.464649753396,332.43453217721,4
28,25,0.0,MVT,-149.748532242896,319.497064485792,331.685822734474,4
28,25,0.0,MSL,-149.787656362427,319.575312724855,331.764070973537,4
28,25,0.0,MVNC,-151.732324876698,321.464649753396,332.43453217721,4
28,25,0.0,MVTC,-149.748532242937,319.497064485874,331.685822734556,4
